module_code,day,start,kind,lecturer,notes
EEG1011,Monday,09:00,Lecture,,
EEG1011,Wednesday,14:00,Lecture,,
EEG1011,Wednesday,15:00,Tutorial,,
EEG1011,Tuesday,10:00,,,One-off session in week 6
EEG1011,Thursday,14:00,,,One-off session in week 7
EEN1018,Monday,10:00,Lecture,,
EEN1018,Wednesday,10:00,Practical,,Even weeks only: 2 4 6 8
EEN1018,Wednesday,17:00,,,
EEN1022,Monday,14:00,Practical,,
EEN1022,Tuesday,11:00,Lecture,,
EEN1022,Wednesday,12:00,Lecture,,
EEN1022,Thursday,17:00,,,
EEN1083,Tuesday,14:00,,,
ESL1009,Thursday,10:00,Lecture,,Group 02 - no class in week 7 (reading week)
